Municipality ,Frequency,N_per_year
Amontada,Once a month,12
Ararenda,Twice a month,24
Barroquinha,Once a month,12
Boa Viagem ,Once a month,12
Capistrano,Twice a month,24
Choro ,Twice a month,24
Croata,Once a month,12
Graca,Twice a month,24
Granja ,Once a month,12
Ipueiras,Twice a month,24
Iraucuba,Once a month,12
Itapiuna ,Once a month,12
Itarema,Twice a month,24
Itatira,Once every two months,6
Martinopole,Once a month,12
Miraima,Once every six months,2
Moraujo,Once a month,12
Morrinhos,Twice a month,24
Mucambo,Once every two months,8
Novo Oriente ,Once a month,12
Pereiro ,Twice a month,24
Quiterianopolis,Twice a month,24
Reriutaba ,Twice a month,24
Salitre,Once a month,12
Santana do Acarau,Once a month,12
Santana do Cariri ,Once a month,12
Tamboril,Once every two months,6
Tarrafas,Once a month,12
Trairi,Two to three times a month,32
Tururu,Twice a month,24
Uruoca ,Once a month,12
Vicosa do Ceara,Once a month,12
