Municipality,Supervisor,ADIs,Training,Transportation,Food,Supplies
Ipueiras,13.32,42.00,0.00,0.00,0.72,0.29
Itapiuna ,11.80,42.00,0.00,0.00,1.74,1.18
Tururu,12.77,42.00,0.36,0.00,2.21,0.68
Salitre,13.46,42.00,0.57,0.00,3.04,0.94
Tarrafas,10.00,42.00,1.77,3.38,3.04,0.94
Reriutaba ,17.50,42.00,0.70,0.00,1.13,0.81
Amontada,18.44,42.00,0.00,0.00,1.36,0.74
Morrinhos,19.68,42.00,0.19,0.00,0.67,0.59
Croata,16.88,42.00,0.44,0.00,3.04,0.94
Boa Viagem ,18.00,42.00,0.97,0.00,2.70,0.83
Tamboril,15.50,42.00,0.29,5.05,1.35,0.41
Barroquinha,23.75,42.00,0.00,0.00,1.45,0.94
Itatira,14.50,42.00,0.00,10.00,3.04,0.94
Choro ,25.00,42.00,0.44,0.00,2.44,1.20
Miraima,28.14,42.00,0.00,0.00,0.75,0.54
Itarema,23.20,42.00,0.12,0.00,4.70,1.53
Pereiro ,20.00,42.00,0.50,7.00,3.04,0.94
Ararenda,23.50,42.00,0.41,5.00,1.35,1.52
Iraucuba,30.00,42.00,0.31,0.00,1.04,0.47
Granja ,36.50,42.00,0.00,0.00,0.40,0.33
Quiterianopolis,35.60,42.00,1.11,0.00,1.26,0.69
Vicosa do Ceara,36.00,42.00,0.00,0.00,3.04,0.94
Uruoca ,40.00,42.00,0.00,0.00,0.19,0.32
Novo Oriente ,21.60,42.00,1.10,15.64,2.43,0.75
Moraujo,33.75,42.00,0.00,15.00,0.32,0.18
Santana do Cariri ,35.00,42.00,4.06,7.58,3.04,0.94
Santana do Acarau,42.50,42.00,0.66,6.15,1.30,0.41
Mucambo,23.13,42.00,0.78,30.00,3.04,0.94
Graca,46.50,42.00,0.50,15.53,0.63,0.28
Capistrano,53.25,42.00,0.00,12.68,0.65,0.76
Trairi,26.93,42.00,0.00,7.93,31.72,2.05
Martinopole,20.63,42.00,0.00,51.70,3.53,2.68
